crypto_id,date,price,market_cap,volume
ethereum,2025-08-27,4602.369685333965,555061696726.733,35263906282.176544
ethereum,2025-08-28,4500.1451479982325,543608856125.4653,35898825608.295586
ethereum,2025-08-29,4507.560431032719,543249516158.12427,29189873860.227936
ethereum,2025-08-30,4364.358521430426,526830870964.3115,38006835596.328514
ethereum,2025-08-31,4373.360357620914,527539496668.2519,19199178188.100254
ethereum,2025-09-01,4388.931464519364,529740073153.04834,22269795530.723904
ethereum,2025-09-02,4303.202222745541,519534784996.7176,31725195638.84437
ethereum,2025-09-03,4325.856306225941,521450862214.85895,32990260980.341236
ethereum,2025-09-04,4449.8670977283255,537549763927.1384,30818352470.84173
ethereum,2025-09-05,4298.094660544595,519319443328.1493,29893273380.076374
ethereum,2025-09-06,4306.613513100346,519830732357.0378,37950930494.82325
ethereum,2025-09-07,4273.110024157841,515852185188.91895,14497961323.191992
ethereum,2025-09-08,4304.032421076036,519663340480.02106,14920604279.616674
ethereum,2025-09-09,4309.685702772004,519912892077.1541,26393884729.75394
ethereum,2025-09-10,4309.342746120013,520461727067.3641,28408982228.170376
ethereum,2025-09-11,4347.476803670656,524803924739.0028,34848418445.62599
ethereum,2025-09-12,4459.31901599882,538261336997.6129,33593064568.960487
ethereum,2025-09-13,4708.841744149995,567724477218.3574,39138140052.58744
ethereum,2025-09-14,4667.699652630318,563397805739.7904,30452117451.68358
ethereum,2025-09-15,4609.786110950785,556354045428.2224,23827529566.903904
ethereum,2025-09-16,4524.244939102515,545926863107.31946,33863743706.690956
ethereum,2025-09-17,4504.266635522813,543407922913.00836,28053763147.05997
ethereum,2025-09-18,4591.768794331328,554600592896.1794,41727122821.76891
ethereum,2025-09-19,4590.6367372135155,554210013387.6136,29381752919.13096
ethereum,2025-09-20,4470.479474009387,539242810184.06946,28156319659.26727
ethereum,2025-09-21,4481.799472368209,540941822331.27405,14314030981.454111
ethereum,2025-09-22,4452.87113037789,537406899904.3973,15910684640.581882
ethereum,2025-09-23,4199.951774017639,507148578276.2705,52988093949.58233
ethereum,2025-09-24,4166.1905498775295,503209949445.43353,29902684711.810097
ethereum,2025-09-25,4148.65682762035,500734284408.361,29988924904.58222
ethereum,2025-09-26,3863.0632875907245,466825639887.3833,63461265827.195854
ethereum,2025-09-27,4037.0979210260916,486889364203.26996,43443403793.85234
ethereum,2025-09-28,4018.167453105732,485207355886.1105,17011629273.367075
ethereum,2025-09-29,4141.839664086501,499628731251.1227,21656522951.624653
ethereum,2025-09-30,4215.61278947927,508909498092.11896,34604598514.675
ethereum,2025-10-01,4144.230463371581,500218841768.296,34013325290.49775
ethereum,2025-10-02,4343.951983440489,524308225825.147,42741046618.56157
ethereum,2025-10-03,4484.006245909478,540553843152.3364,41104321433.11955
ethereum,2025-10-04,4515.759068159723,545075315730.44794,45970576945.09693
ethereum,2025-10-05,4487.706651673285,541611848322.7991,20597928707.86516
ethereum,2025-10-06,4515.321391965295,545075062109.96124,40355486904.311195
ethereum,2025-10-07,4689.131734746596,566339901682.9528,41164885082.65789
ethereum,2025-10-08,4454.32846286666,537522914209.85065,49804861778.9329
ethereum,2025-10-09,4527.578004547945,546454608029.64813,36623453162.8216
ethereum,2025-10-10,4368.649439385323,527213250874.5829,42731695438.879875
ethereum,2025-10-11,3835.632842050135,463578765352.86365,90784076986.425
ethereum,2025-10-12,3749.218185954949,453043143808.8669,54140013164.198265
ethereum,2025-10-13,4159.729307791921,501175375996.802,57642806541.61372
ethereum,2025-10-14,4246.217461554773,512317800004.74445,46426992105.166855
ethereum,2025-10-15,4128.888447033946,498801738230.5064,62876294833.97642
ethereum,2025-10-16,3983.1544356894233,480502921991.1765,44806571765.16941
ethereum,2025-10-17,3890.1993012479857,469582926617.41595,44673230678.7307
ethereum,2025-10-18,3831.244175835675,462727285553.6246,52519500424.67195
ethereum,2025-10-19,3889.4990302043157,469204461222.8663,19845543405.385517
ethereum,2025-10-20,3985.0765644046796,480734836101.83966,29233928200.2202
ethereum,2025-10-21,3978.7901551344357,480395580826.9953,35767064768.00727
ethereum,2025-10-22,3877.4871979550117,467810730089.432,46069514674.15889
ethereum,2025-10-23,3801.7907952382916,458856134706.02246,41712359613.706055
ethereum,2025-10-24,3855.8421162401205,465361564940.0126,32116755772.61905
ethereum,2025-10-25,3933.232269901015,474759372126.45776,30026152396.570248
ethereum,2025-10-26,3952.213557935584,477319399731.4925,12389144280.82482
ethereum,2025-10-27,4161.590896249249,502918445052.51886,25813518444.008472
ethereum,2025-10-28,4123.206220671679,497221249584.5864,36948961061.03095
ethereum,2025-10-29,3982.3127893175442,481161348044.65594,35659878225.70066
ethereum,2025-10-30,3897.359267616961,470349941761.83514,33522381291.769722
